review,sentiment
I love this product,Positive
Excellent quality and fast delivery,Positive
Amazing experience,Positive
Very happy with my purchase,Positive
Highly recommended,Positive
Fantastic customer service,Positive
This product is awesome,Positive
Good value for money,Positive
Very satisfied,Positive
Best product ever,Positive
Worst product I have bought,Negative
Terrible experience,Negative
Very disappointed,Negative
Poor quality,Negative
Waste of money,Negative
Not recommended,Negative
Delivery was very late,Negative
Customer support is bad,Negative
It broke after one day,Negative
Really awful product,Negative
It's okay,Neutral
Average quality,Neutral
Nothing special,Neutral
Product is fine,Neutral
Acceptable performance,Neutral
Works as expected,Neutral
Neither good nor bad,Neutral
Can be improved,Neutral
Normal product,Neutral
Average experience,Neutral
